#i,cluster,ra,dec,peakheight,snr,photz,specz,richness
0, MOO J0001+1428 ,0.28791700000000003,14.4825,0.59,9.0,  1.14 ,        ,       15 
1, MOO J0001+3644 ,0.290833,36.74389,0.56,9.9,       ,        ,          
2, MOO J0001+3440 ,0.41041700000000003,34.68056,0.56,9.3,       ,        ,          
3, MOO J0001-2447 ,0.455833,-24.79222,0.58,8.4,       ,        ,          
4, MOO J0001-2533 ,0.477917,-25.559720000000002,0.69,10.6,  1.17 ,        ,       43 
5, MOO J0002-0820 ,0.525833,-8.34722,0.56,8.5,       ,        ,          
6, MOO J0002+1751 ,0.622917,17.85833,0.6,9.5,  1.33 ,        ,       26 
7, MOO J0003-0903 ,0.755,-9.05667,0.66,10.0,  0.94 ,        ,       18 
8, MOO J0003-2925 ,0.867917,-29.432779999999998,0.84,12.9,  1.05 ,        ,       22 
9, MOO J0003-1341 ,0.905417,-13.687779999999998,0.69,10.5,  0.85 ,        ,       32 
10, MOO J0004-0232 ,1.11125,-2.54556,0.56,8.5,       ,        ,          
11, MOO J0004+0024 ,1.178333,0.4,0.57,8.7,       ,        ,          
12, MOO J0004+0108 ,1.217083,1.14333,0.61,9.3,  0.94 ,        ,       21 
13, MOO J0005+1329 ,1.369167,13.492220000000001,0.58,8.8,  0.94 ,        ,       34 
14, MOO J0005+0024 ,1.371667,0.4,0.56,8.6,       ,        ,          
15, MOO J0005+1408 ,1.4075,14.13611,0.69,10.4,  0.98 ,        ,       17 
16, MOO J0005-0443 ,1.417083,-4.72389,0.57,8.6,       ,        ,          
17, MOO J0006+3050 ,1.622083,30.848609999999997,0.65,10.9,  1.02 ,        ,       42 
18, MOO J0006-0244 ,1.6429169999999997,-2.745,0.57,8.7,       ,        ,          
19, MOO J0006-0751 ,1.65125,-7.86083,0.57,8.6,       ,        ,          
20, MOO J0007-2108 ,1.8066669999999998,-21.14333,0.56,8.4,       ,        ,          
21, MOO J0008-1703 ,2.068333,-17.06111,0.56,8.4,       ,        ,          
22, MOO J0009-0750 ,2.3929169999999997,-7.83667,0.62,9.4,  1.14 ,        ,       22 
23, MOO J0010+2027 ,2.57875,20.45778,0.63,10.0,  0.88 ,        ,       14 
24, MOO J0010+3142 ,2.69875,31.70389,0.66,10.9,  1.41 ,        ,       33 
25, MOO J0010+2751 ,2.7254169999999998,27.85278,0.58,9.7,  0.98 ,        ,       20 
26, MOO J0011-1414 ,2.81,-14.24611,0.6,9.0,  1.03 ,        ,       35 
27, MOO J0011-2530 ,2.880417,-25.515279999999997,0.56,8.7,       ,        ,          
28, MOO J0012-0218 ,3.226667,-2.30278,0.6,9.1,  1.19 ,        ,       35 
29, MOO J0012-1941 ,3.2479169999999997,-19.69389,0.57,8.5,       ,        ,          
30, MOO J0013+0700 ,3.450417,7.01444,0.59,8.9,  1.09 ,        ,       33 
31, MOO J0014-0909 ,3.63875,-9.15639,0.61,9.2,  0.89 ,        ,       16 
32, MOO J0014-0459 ,3.66875,-4.989719999999999,0.62,9.5,  1.02 ,        ,       32 
33, MOO J0015+2059 ,3.775833,20.99944,0.57,9.1,       ,        ,          
34, MOO J0015+2822 ,3.77625,28.371109999999998,0.59,9.9,  0.98 ,        ,       27 
35, MOO J0015-1357 ,3.824583,-13.96306,0.61,9.2,  0.97 ,        ,       40 
36, MOO J0015+0801 ,3.8520830000000004,8.0275,0.6,9.2,   0.9 ,        ,       58 
37, MOO J0015+1040 ,3.885,10.67056,0.73,11.0,  0.96 ,        ,       31 
38, MOO J0017+1417 ,4.423333,14.287220000000001,0.73,11.1,  0.86 ,        ,       28 
39, MOO J0018+0857 ,4.5191669999999995,8.96139,0.57,8.6,       ,        ,          
40, MOO J0018+2251 ,4.55375,22.857779999999998,0.67,10.7,  0.97 ,        ,       11 
41, MOO J0018+3113 ,4.599583,31.23028,0.57,9.6,       ,        ,          
42, MOO J0018-1451 ,4.6683330000000005,-14.86111,0.62,9.4,  1.28 ,        ,       48 
43, MOO J0018+1205 ,4.682083,12.09472,0.56,8.5,       ,        ,          
44, MOO J0018+0000 ,4.74,0.00361,0.63,9.5,  0.88 ,        ,       19 
45, MOO J0018+1156 ,4.7425,11.94944,0.65,9.9,  1.14 ,        ,       30 
46, MOO J0019-1909 ,4.76875,-19.16167,0.73,10.8,  1.27 ,        ,       29 
47, MOO J0019+0209 ,4.959583,2.1661099999999998,0.67,10.1,  0.83 ,        ,       29 
48, MOO J0020-1249 ,5.110833,-12.83028,0.56,8.5,       ,        ,          
49, MOO J0020+3551 ,5.116667,35.86306,0.57,10.1,       ,        ,          
50, MOO J0020-2557 ,5.212083,-25.95056,0.62,9.6,  0.94 ,        ,       17 
51, MOO J0021+0158 ,5.2604169999999995,1.98111,0.6,9.2,  0.97 ,        ,       32 
52, MOO J0021-1435 ,5.279167,-14.598889999999999,0.56,8.6,       ,        ,          
53, MOO J0021-0641 ,5.326667,-6.69389,0.56,8.5,       ,        ,          
54, MOO J0021-1855 ,5.4475,-18.932779999999998,0.58,8.6,  0.98 ,        ,       35 
55, MOO J0021+2207 ,5.493333,22.13139,0.59,9.5,  1.14 ,        ,       19 
56, MOO J0022-2730 ,5.538333000000001,-27.50722,0.6,9.3,  1.21 ,        ,       15 
57, MOO J0022-1802 ,5.5775,-18.04389,0.68,10.0,  0.96 ,        ,       30 
58, MOO J0022-0706 ,5.707917,-7.111669999999999,0.57,8.6,       ,        ,          
59, MOO J0023+0918 ,5.776667,9.30889,0.64,9.7,  0.97 ,        ,       26 
60, MOO J0023+1451 ,5.80625,14.861939999999999,0.58,8.8,  1.05 ,        ,       23 
61, MOO J0024-0944 ,6.005,-9.74722,0.57,8.6,       ,        ,          
62, MOO J0024+2841 ,6.13125,28.691940000000002,0.57,9.6,       ,        ,          
63, MOO J0024-0347 ,6.17625,-3.7966699999999998,0.58,8.8,  1.06 ,        ,       15 
64, MOO J0024+3303 ,6.19375,33.05917,0.72,11.9,  1.16 ,  1.115 ,       61 
65, MOO J0024+3205 ,6.204167,32.09944,0.71,11.8,  0.98 ,        ,       22 
66, MOO J0025+0153 ,6.254583,1.88611,0.57,8.6,       ,        ,          
67, MOO J0025-2031 ,6.2845830000000005,-20.525,0.62,9.1,  0.94 ,        ,       25 
68, MOO J0025-0947 ,6.299583,-9.785,0.56,8.5,       ,        ,          
69, MOO J0025+0131 ,6.332917,1.52194,0.56,8.5,       ,        ,          
70, MOO J0025-0151 ,6.382917,-1.8658299999999999,0.58,8.8,   0.9 ,        ,        6 
71, MOO J0025+3024 ,6.389583,30.4125,0.61,10.2,  0.78 ,        ,       24 
72, MOO J0026-2925 ,6.537917,-29.4325,0.61,9.5,  0.97 ,        ,       19 
73, MOO J0026+3032 ,6.561667,30.533609999999996,0.56,9.4,       ,        ,          
74, MOO J0027-1614 ,6.840833,-16.245,0.59,8.8,       ,        ,          
75, MOO J0027+1838 ,6.88875,18.641939999999998,0.56,8.9,       ,        ,          
76, MOO J0028-1005 ,7.03,-10.094439999999999,0.69,10.4,  0.97 ,        ,       57 
77, MOO J0028-2230 ,7.065,-22.50056,0.75,11.1,  0.96 ,        ,       23 
78, MOO J0029+1743 ,7.358333,17.73028,0.61,9.7,  0.93 ,        ,       11 
79, MOO J0029+2657 ,7.457917,26.96139,0.86,14.4,  1.14 ,        ,       48 
80, MOO J0029-1758 ,7.47,-17.97778,0.75,11.1,  1.05 ,        ,       31 
81, MOO J0030+1818 ,7.529583000000001,18.31,0.57,9.1,       ,        ,          
82, MOO J0030+2337 ,7.530833,23.62278,0.61,9.7,  0.93 ,        ,       21 
83, MOO J0030+1820 ,7.537917,18.34722,0.56,9.0,       ,        ,          
84, MOO J0030-1913 ,7.56625,-19.231939999999998,0.57,8.5,       ,        ,          
85, MOO J0030+0723 ,7.62,7.39583,0.63,9.5,  0.96 ,        ,       20 
86, MOO J0031-1622 ,7.810417,-16.36861,0.58,8.6,       ,        ,          
87, MOO J0031-1742 ,7.8333330000000005,-17.712220000000002,0.71,10.5,  1.06 ,        ,       28 
88, MOO J0031+2711 ,7.8825,27.191940000000002,0.66,10.9,  0.97 ,        ,       26 
89, MOO J0031-2234 ,7.905,-22.58278,0.58,8.6,       ,        ,          
90, MOO J0032-1433 ,8.195833,-14.553329999999999,0.6,9.1,  1.08 ,        ,       30 
91, MOO J0032-2200 ,8.209166999999999,-22.01139,0.57,8.4,       ,        ,          
92, MOO J0033+0254 ,8.259167,2.90389,0.57,8.7,       ,        ,          
93, MOO J0033+0106 ,8.38875,1.105,0.6,9.1,       ,        ,          
94, MOO J0034-2505 ,8.594583,-25.08333,0.62,9.6,  0.98 ,        ,       44 
95, MOO J0034-0500 ,8.685,-5.004169999999999,0.66,10.0,  1.45 ,        ,       35 
96, MOO J0035+2358 ,8.759583000000001,23.97139,0.6,9.5,  0.96 ,        ,       42 
97, MOO J0035+2440 ,8.902917,24.67472,0.57,9.1,       ,        ,          
98, MOO J0035+3409 ,8.975833,34.15611,0.58,9.7,  1.23 ,        ,       23 
99, MOO J0035-2113 ,8.994167,-21.219720000000002,0.71,10.5,  0.79 ,        ,       25 
100, MOO J0037+1455 ,9.327083,14.93111,0.6,9.1,  1.06 ,        ,       16 
101, MOO J0037+3306 ,9.4425,33.11611,0.83,13.9,  1.06 ,  1.139 ,       53 
102, MOO J0038-1044 ,9.55625,-10.74278,0.69,10.4,  1.08 ,        ,       42 
103, MOO J0038+2741 ,9.573333,27.691390000000002,0.65,10.9,  1.03 ,        ,       24 
104, MOO J0038-1915 ,9.74,-19.25,0.59,8.8,  1.42 ,        ,       16 
105, MOO J0039+3112 ,9.77875,31.2075,0.57,9.5,       ,        ,          
106, MOO J0039-1154 ,9.96125,-11.90222,0.6,9.1,  1.13 ,        ,          
107, MOO J0040-1316 ,10.15625,-13.27389,0.57,8.6,       ,        ,          
108, MOO J0041+1407 ,10.255833,14.130279999999999,0.61,9.3,  0.86 ,        ,        9 
109, MOO J0041+0154 ,10.356667,1.91389,0.59,8.9,  1.08 ,        ,       17 
110, MOO J0041-2644 ,10.4825,-26.73583,0.59,9.1,  0.89 ,        ,       37 
111, MOO J0042+1501 ,10.50125,15.028329999999999,0.57,9.1,       ,        ,          
112, MOO J0042-2238 ,10.587083,-22.63833,0.6,8.9,  0.76 ,        ,       34 
113, MOO J0042+0854 ,10.588333,8.906939999999999,0.61,9.4,  0.97 ,        ,       31 
114, MOO J0043-2338 ,10.9375,-23.64361,0.59,8.8,  1.36 ,        ,       27 
115, MOO J0043-1942 ,10.944583,-19.712220000000002,0.56,8.4,       ,        ,          
116, MOO J0045-1312 ,11.297917,-13.20861,0.67,10.2,  0.98 ,        ,       27 
117, MOO J0045+1604 ,11.367917,16.073610000000002,0.61,9.4,  0.86 ,        ,       30 
118, MOO J0046-2444 ,11.565,-24.74944,0.68,10.2,  1.19 ,        ,       30 
119, MOO J0046-2945 ,11.587083,-29.76306,0.76,11.8,  0.99 ,        ,       47 
120, MOO J0047-2445 ,11.797917,-24.76306,0.66,9.9,  1.27 ,        ,       28 
121, MOO J0047-0254 ,11.929167,-2.90583,0.61,9.4,  1.16 ,        ,       42 
122, MOO J0047-1940 ,11.973333,-19.675829999999998,0.62,9.3,  1.14 ,        ,       17 
123, MOO J0048+1757 ,12.139167,17.953329999999998,0.63,9.8,  0.82 ,        ,       58 
124, MOO J0048+2736 ,12.24625,27.610559999999996,0.57,9.5,       ,        ,          
125, MOO J0049+2623 ,12.35625,26.38778,0.65,10.8,  1.27 ,        ,       30 
126, MOO J0049-0303 ,12.3575,-3.05361,0.58,8.8,       ,        ,          
127, MOO J0049+3022 ,12.389583,30.3675,0.56,9.4,       ,        ,          
128, MOO J0049+1520 ,12.440833,15.33389,0.58,9.0,  1.23 ,        ,       17 
129, MOO J0050-0545 ,12.7075,-5.75111,0.58,8.9,  1.09 ,        ,       17 
130, MOO J0051-1933 ,12.870833,-19.55806,0.57,8.5,       ,        ,          
131, MOO J0052-2502 ,13.227917000000001,-25.043329999999997,0.58,8.9,  1.05 ,        ,       29 
132, MOO J0052+1652 ,13.235833,16.86944,0.56,8.8,       ,        ,          
133, MOO J0053+0312 ,13.297917000000002,3.215,0.57,8.8,       ,        ,          
134, MOO J0053-2219 ,13.3475,-22.323610000000002,0.98,14.7,  1.02 ,        ,       35 
135, MOO J0053-0219 ,13.354167000000002,-2.32278,0.56,8.6,       ,        ,          
136, MOO J0053+1847 ,13.358332999999998,18.79833,0.6,9.4,  1.19 ,        ,       25 
137, MOO J0053+2521 ,13.415417000000001,25.351670000000002,0.67,10.9,  0.83 ,        ,       26 
138, MOO J0054-2019 ,13.560417000000001,-20.328889999999998,0.56,8.5,       ,        ,          
139, MOO J0054+2959 ,13.56125,29.995829999999998,0.63,10.5,  0.96 ,        ,       57 
140, MOO J0055+3245 ,13.93625,32.76417,0.57,9.4,       ,        ,          
141, MOO J0055+1433 ,13.955,14.55611,0.56,8.6,       ,        ,          
142, MOO J0055+0607 ,13.99,6.129169999999999,0.57,8.8,       ,        ,          
143, MOO J0056+2048 ,14.0325,20.81556,0.74,11.5,   1.1 ,        ,       42 
144, MOO J0056-1749 ,14.041667000000002,-17.83111,0.56,8.5,       ,        ,          
145, MOO J0056+3202 ,14.109167000000001,32.035,0.63,10.3,  0.98 ,        ,       42 
146, MOO J0057+3225 ,14.270417000000002,32.42722,0.63,10.4,  1.32 ,        ,       18 
147, MOO J0058-1335 ,14.510417000000002,-13.598889999999999,0.68,10.3,  1.05 ,        ,       34 
148, MOO J0058+1104 ,14.559167,11.07361,0.59,9.0,  1.03 ,        ,       31 
149, MOO J0058-0629 ,14.586667000000002,-6.495,0.57,8.7,       ,        ,          
150, MOO J0058+1301 ,14.695832999999999,13.02,0.59,9.0,  1.08 ,        ,       28 
151, MOO J0059-2351 ,14.850832999999998,-23.85556,0.61,9.2,       ,        ,          
152, MOO J0059-2339 ,14.86125,-23.66583,0.63,9.4,  0.89 ,        ,       26 
153, MOO J0059+0808 ,14.973332999999998,8.14361,0.58,8.9,  1.38 ,        ,       16 
154, MOO J0059+0848 ,14.975417000000002,8.811110000000001,0.6,9.2,       ,        ,          
155, MOO J0059+1315 ,14.989582999999998,13.252220000000001,0.59,9.0,  1.03 ,        ,       48 
156, MOO J0100-2112 ,15.16125,-21.21361,0.62,9.4,  1.21 ,        ,       24 
157, MOO J0100-0151 ,15.245833,-1.85028,0.8,12.2,   1.1 ,        ,       36 
158, MOO J0101+2721 ,15.274582999999998,27.363059999999997,0.62,10.2,  1.48 ,        ,       17 
159, MOO J0101-2912 ,15.275417000000001,-29.21,0.57,8.7,       ,        ,          
160, MOO J0101+0301 ,15.38375,3.03194,0.6,9.1,  0.93 ,        ,       10 
161, MOO J0101+0030 ,15.42125,0.50889,0.59,9.0,  0.97 ,        ,       42 
162, MOO J0101-1904 ,15.48875,-19.06944,0.67,10.0,  1.01 ,        ,       27 
163, MOO J0102-1937 ,15.660832999999998,-19.63028,0.65,9.7,  1.19 ,        ,       24 
164, MOO J0102+0201 ,15.664582999999999,2.0211099999999997,0.65,9.9,  1.17 ,        ,       20 
165, MOO J0102-1341 ,15.735,-13.693060000000001,0.61,9.4,  1.02 ,        ,       10 
166, MOO J0103+2624 ,15.81375,26.405279999999998,0.65,10.6,  0.97 ,        ,       31 
167, MOO J0103-1206 ,15.881667000000002,-12.101389999999999,0.67,10.3,  0.91 ,        ,       27 
168, MOO J0103+0117 ,15.940417000000002,1.2891700000000001,0.61,9.3,       ,        ,          
169, MOO J0104-2803 ,16.029167,-28.058059999999998,0.6,9.2,  1.38 ,        ,       16 
170, MOO J0105+1324 ,16.380417,13.400279999999999,0.65,10.0,  1.13 ,  1.143 ,       87 
171, MOO J0105-2507 ,16.40375,-25.116670000000003,0.57,8.7,       ,        ,          
172, MOO J0105-1839 ,16.462083,-18.65389,0.59,8.9,  0.91 ,        ,       65 
173, MOO J0106+2414 ,16.565417,24.23917,0.63,9.8,   1.1 ,        ,       25 
174, MOO J0106-1510 ,16.614167000000002,-15.182220000000001,0.63,9.5,  1.49 ,        ,       30 
175, MOO J0106-2114 ,16.645417000000002,-21.247220000000002,0.59,8.8,  1.05 ,        ,       29 
176, MOO J0106+1438 ,16.655832999999998,14.63667,0.56,8.6,       ,        ,          
177, MOO J0106+0012 ,16.680833,0.2125,0.6,9.2,  1.06 ,        ,       11 
178, MOO J0107+3341 ,16.82375,33.685559999999995,0.64,10.6,  0.91 ,        ,       43 
179, MOO J0107-1735 ,16.862083,-17.59361,0.57,8.6,       ,        ,          
180, MOO J0107-2951 ,16.875,-29.855559999999997,0.56,8.6,       ,        ,          
181, MOO J0107+1631 ,16.911667,16.52833,0.65,10.1,       ,        ,          
182, MOO J0108-2558 ,17.100832999999998,-25.97833,0.6,9.2,  1.19 ,        ,       12 
183, MOO J0109-0009 ,17.317083,-0.16527999999999998,0.57,8.7,       ,        ,          
184, MOO J0109+1347 ,17.359582999999997,13.797220000000001,0.59,9.0,  0.88 ,        ,       25 
185, MOO J0109+3432 ,17.3625,34.54722,0.58,9.5,       ,        ,          
186, MOO J0109+1550 ,17.377083,15.84056,0.62,9.7,  0.96 ,        ,       27 
187, MOO J0109-0107 ,17.387917,-1.12361,0.57,8.6,       ,        ,          
188, MOO J0109+3030 ,17.400833,30.508059999999997,0.7,11.6,   0.8 ,        ,       39 
189, MOO J0109-1634 ,17.42625,-16.56972,0.6,9.1,  1.24 ,        ,       55 
190, MOO J0110-1521 ,17.66625,-15.365829999999999,0.85,12.7,   0.9 ,        ,       65 
191, MOO J0110+2610 ,17.694582999999998,26.18139,0.65,10.7,  1.19 ,        ,       17 
192, MOO J0110+0057 ,17.740833,0.96472,0.59,9.0,  0.91 ,        ,       28 
193, MOO J0111+3601 ,17.75375,36.01972,0.62,11.3,       ,        ,          
194, MOO J0111+0909 ,17.7775,9.15583,0.61,9.4,  1.41 ,        ,       21 
195, MOO J0113+1640 ,18.26,16.66694,0.6,9.4,  1.13 ,        ,       22 
196, MOO J0113+1305 ,18.452083,13.09667,0.66,10.2,  1.37 ,        ,       35 
197, MOO J0114-2310 ,18.528333,-23.17861,0.59,8.8,  1.06 ,        ,       23 
198, MOO J0114-0237 ,18.6225,-2.6244400000000003,0.64,9.8,  0.91 ,        ,       32 
199, MOO J0114+2128 ,18.685,21.48111,0.59,9.2,  1.16 ,        ,       21 
200, MOO J0114-1805 ,18.71875,-18.08611,0.58,8.8,   1.1 ,        ,       31 
201, MOO J0115-1343 ,18.791667,-13.72861,0.68,10.4,  1.23 ,        ,       22 
202, MOO J0115+1802 ,18.82,18.03361,0.57,8.9,       ,        ,          
203, MOO J0116-1153 ,19.118333,-11.89917,0.6,9.2,  1.27 ,        ,       29 
204, MOO J0116-0724 ,19.121667000000002,-7.406389999999999,0.57,8.7,       ,        ,          
205, MOO J0116+2240 ,19.217917,22.6825,0.56,8.8,       ,        ,          
206, MOO J0117-1237 ,19.310833,-12.618889999999999,0.67,10.2,   1.1 ,        ,       30 
207, MOO J0117+2309 ,19.31625,23.15139,0.56,8.8,       ,        ,          
208, MOO J0117-1206 ,19.34625,-12.10333,0.57,8.8,       ,        ,          
209, MOO J0118-2714 ,19.560833,-27.241670000000003,0.61,9.4,  1.29 ,        ,       33 
210, MOO J0118+1610 ,19.587917,16.16861,0.57,9.0,       ,        ,          
211, MOO J0119+0353 ,19.798333,3.8833300000000004,0.59,9.1,  0.83 ,        ,       31 
212, MOO J0119-0509 ,19.848333,-5.15889,0.66,10.0,  0.89 ,        ,       41 
213, MOO J0119+2854 ,19.979582999999998,28.906670000000002,0.62,10.2,  1.45 ,        ,          
214, MOO J0120-2039 ,20.12625,-20.66222,0.57,8.6,       ,        ,          
215, MOO J0120-0304 ,20.171667000000003,-3.07556,0.62,9.5,  1.24 ,        ,       40 
216, MOO J0120+3337 ,20.200417,33.62361,0.59,9.7,  1.29 ,        ,       32 
217, MOO J0121-2725 ,20.26625,-27.426940000000002,0.57,8.8,       ,        ,          
218, MOO J0121+0230 ,20.455833,2.50528,0.63,9.8,  1.08 ,        ,       30 
219, MOO J0121-0145 ,20.468332999999998,-1.7602799999999998,0.59,9.0,  0.98 ,        ,       37 
220, MOO J0122-2037 ,20.505,-20.62667,0.64,9.6,  1.01 ,        ,       45 
221, MOO J0122-1238 ,20.507082999999998,-12.63611,0.67,10.2,  1.31 ,        ,       32 
222, MOO J0122-1337 ,20.62125,-13.626389999999999,0.64,10.0,  1.28 ,        ,       18 
223, MOO J0122-1504 ,20.705,-15.081389999999999,0.56,8.5,       ,        ,          
224, MOO J0123+2545 ,20.9625,25.76194,0.82,13.5,  1.19 ,  1.229 ,       41 
225, MOO J0124+1757 ,21.0475,17.96111,0.59,9.2,  0.96 ,        ,       21 
226, MOO J0124+0253 ,21.05375,2.88417,0.58,9.0,  0.96 ,        ,       32 
227, MOO J0124+0356 ,21.054167,3.9427800000000004,0.69,10.7,  1.31 ,        ,       31 
228, MOO J0124+0121 ,21.065417,1.3525,0.6,9.2,  1.28 ,        ,       29 
229, MOO J0124+1410 ,21.158333,14.17278,0.59,9.0,   0.9 ,        ,        0 
230, MOO J0124+0725 ,21.2075,7.419169999999999,0.65,9.9,  1.09 ,        ,       27 
231, MOO J0125-0802 ,21.325833,-8.03833,0.6,9.1,  1.03 ,        ,       65 
232, MOO J0125+1344 ,21.331667000000003,13.74194,0.68,10.3,  1.24 ,  1.128 ,       51 
233, MOO J0125-2606 ,21.396667,-26.11417,0.57,8.8,       ,        ,          
234, MOO J0126-2947 ,21.64,-29.791390000000003,0.59,9.0,   0.9 ,        ,       44 
235, MOO J0127-2759 ,21.84625,-27.99028,0.75,11.5,   0.8 ,        ,        9 
236, MOO J0127-1337 ,21.93875,-13.6175,0.57,8.8,       ,        ,          
237, MOO J0127+3241 ,21.945417000000003,32.69056,0.69,11.4,  1.06 ,        ,       20 
238, MOO J0128+0707 ,22.000833,7.12972,0.57,8.8,       ,        ,          
239, MOO J0128-1508 ,22.108333,-15.13444,0.76,11.4,  1.01 ,        ,       22 
240, MOO J0128-1149 ,22.175417000000003,-11.8175,0.7,10.7,  0.99 ,        ,       27 
241, MOO J0128+2618 ,22.210417,26.30528,0.57,9.3,       ,        ,          
242, MOO J0128-2912 ,22.235417,-29.203609999999998,0.6,9.2,  0.97 ,        ,       28 
243, MOO J0129-1640 ,22.302083,-16.68167,0.7,10.6,  1.05 ,        ,       49 
244, MOO J0129-1759 ,22.357083,-17.991670000000003,0.7,10.6,  1.01 ,        ,       37 
245, MOO J0129-1014 ,22.376667,-10.24917,0.71,10.9,       ,        ,          
246, MOO J0130-1452 ,22.551667000000002,-14.8725,0.6,9.1,  1.05 ,        ,        9 
247, MOO J0130-2356 ,22.556667,-23.93861,0.59,9.0,  1.02 ,        ,       10 
248, MOO J0130-1855 ,22.585,-18.9175,0.57,8.5,       ,        ,          
249, MOO J0130+0922 ,22.657083,9.37889,0.58,8.8,  1.08 ,  1.146 ,       35 
250, MOO J0130+0335 ,22.734582999999997,3.5947199999999997,0.59,9.2,  1.29 ,        ,       44 
251, MOO J0131+1937 ,22.80375,19.63167,0.6,9.5,  0.99 ,        ,       22 
252, MOO J0131-2941 ,22.86375,-29.6875,0.57,8.7,       ,        ,          
253, MOO J0132+0329 ,23.004167000000002,3.48889,0.64,10.0,  1.14 ,        ,       35 
254, MOO J0132+1058 ,23.142083,10.96694,0.64,9.7,  0.94 ,        ,       46 
255, MOO J0133-1057 ,23.488332999999997,-10.96611,0.65,9.9,  0.94 ,  0.957 ,       66 
256, MOO J0134-0844 ,23.507082999999998,-8.74333,0.6,9.1,  0.81 ,        ,       23 
257, MOO J0134-2359 ,23.6375,-23.99944,0.59,9.0,  0.99 ,        ,       43 
258, MOO J0134+1540 ,23.747083,15.675,0.59,9.1,  0.99 ,        ,       50 
259, MOO J0135-0628 ,23.761667000000003,-6.48306,0.61,9.4,  1.01 ,        ,       41 
260, MOO J0135+3207 ,23.765417000000003,32.123059999999995,0.73,12.0,  1.46 ,        ,       39 
261, MOO J0135-2743 ,23.972917000000002,-27.730559999999997,0.64,9.9,  1.24 ,        ,       29 
262, MOO J0136-0959 ,24.01625,-9.98806,0.6,9.2,  0.89 ,        ,       12 
263, MOO J0136+1707 ,24.117917000000002,17.116670000000003,0.58,8.9,  0.97 ,        ,       24 
264, MOO J0137+3312 ,24.259583,33.21528,0.6,9.9,  1.01 ,        ,       18 
265, MOO J0137+2734 ,24.362917000000003,27.56833,0.58,9.6,  1.16 ,        ,       19 
266, MOO J0138-2123 ,24.500833,-21.385,0.59,8.9,  0.98 ,        ,       23 
267, MOO J0138+1440 ,24.6975,14.666670000000002,0.57,8.7,       ,        ,          
268, MOO J0138-0004 ,24.725,-0.08056,0.59,9.1,  0.76 ,        ,       24 
269, MOO J0139-1953 ,24.763333,-19.89167,0.57,8.7,  1.01 ,        ,       35 
270, MOO J0140+1805 ,25.11375,18.08444,0.58,8.9,       ,        ,          
271, MOO J0140+3642 ,25.2275,36.708059999999996,0.76,13.8,   1.1 ,        ,       31 
272, MOO J0141-1614 ,25.365833,-16.24194,0.6,9.1,  1.12 ,        ,       20 
273, MOO J0141-0658 ,25.387917,-6.9775,0.56,8.6,       ,        ,          
274, MOO J0141-1238 ,25.395,-12.640830000000001,0.58,8.9,  1.05 ,        ,       23 
275, MOO J0141-0347 ,25.39875,-3.79333,0.6,9.3,  1.26 ,        ,       32 
276, MOO J0141-2358 ,25.432917,-23.96861,0.57,8.7,       ,        ,          
277, MOO J0142-1227 ,25.519582999999997,-12.46472,0.58,8.8,       ,        ,          
278, MOO J0142+1137 ,25.620417,11.62611,0.59,9.0,   0.9 ,        ,       19 
279, MOO J0142+1400 ,25.641667,14.01111,0.56,8.6,       ,        ,          
280, MOO J0142-1952 ,25.66125,-19.87806,0.57,8.7,       ,        ,          
281, MOO J0142-1650 ,25.66625,-16.83417,0.6,9.2,  1.21 ,        ,       30 
282, MOO J0143+2445 ,25.7625,24.75556,0.63,9.7,       ,        ,          
283, MOO J0143-1400 ,25.762917,-14.0025,0.65,9.9,   1.4 ,        ,       17 
284, MOO J0143+1055 ,25.770833,10.93111,0.6,9.1,  1.09 ,        ,       28 
285, MOO J0143+1858 ,25.784167,18.982779999999998,0.63,9.7,  1.02 ,        ,       35 
286, MOO J0143-2650 ,25.935,-26.844720000000002,0.6,9.2,  0.94 ,        ,       18 
287, MOO J0144+0507 ,26.069582999999998,5.13167,0.59,9.0,  0.91 ,        ,       28 
288, MOO J0144-0622 ,26.109582999999997,-6.37972,0.57,8.7,       ,        ,          
289, MOO J0145-1916 ,26.270417,-19.27111,0.56,8.5,       ,        ,          
290, MOO J0145-1847 ,26.298333000000003,-18.78333,0.57,8.6,       ,        ,          
291, MOO J0145-2339 ,26.29875,-23.65778,0.56,8.5,       ,        ,          
292, MOO J0145+1618 ,26.307917,16.303060000000002,0.59,9.0,   1.1 ,        ,       26 
293, MOO J0146-2559 ,26.504167,-25.99083,0.59,9.1,  1.12 ,        ,          
294, MOO J0146-2652 ,26.535417,-26.8725,0.61,9.3,  0.99 ,        ,       21 
295, MOO J0146+1731 ,26.573333,17.52806,0.59,9.2,  1.08 ,        ,       26 
296, MOO J0146+0647 ,26.588333000000002,6.78361,0.6,9.2,  1.32 ,        ,       21 
297, MOO J0146+1816 ,26.618333000000003,18.2725,0.6,9.2,  1.23 ,        ,       29 
298, MOO J0146-1516 ,26.620417,-15.278329999999999,0.65,9.9,  0.91 ,        ,       30 
299, MOO J0146-0005 ,26.682083000000002,-0.09361,0.67,10.4,       ,        ,          
300, MOO J0147-1544 ,26.75625,-15.74194,0.56,8.5,       ,        ,          
301, MOO J0147+1117 ,26.8,11.29083,0.64,9.8,  1.13 ,        ,       21 
302, MOO J0147+1343 ,26.815833,13.72139,0.58,8.9,  1.27 ,        ,       20 
